,,drew,jeff,ryan,david,me
15:27-11/14,1258212439,0,25,0,0
15:27-11/14,1258212443,0,26,0,0
15:27-11/14,1258212446,0,27,0,0
15:27-11/14,1258212450,0,28,0,0
15:29-11/14,1258212575,0,29,0,0
17:58-11/14,1258221487,0,74,0,0,0
17:58-11/14,1258221488,0,75,0,0,0
17:58-11/14,1258221489,0,76,0,0,0
17:58-11/14,1258221489,0,77,0,0,0
17:58-11/14,1258221489,0,78,0,0,0
17:58-11/14,1258221490,0,79,0,0,0
17:58-11/14,1258221490,0,80,0,0,0
17:58-11/14,1258221490,0,81,0,0,0
17:58-11/14,1258221490,0,82,0,0,0
13:37-11/16,1258396633,0,76,0,0,0
13:37-11/16,1258396636,0,76,0,0,1
13:37-11/16,1258396638,0,77,0,0,1
13:37-11/16,1258396642,0,78,0,0,1
13:37-11/16,1258396643,0,79,0,0,1
13:37-11/16,1258396644,0,80,0,0,1
13:37-11/16,1258396644,0,81,0,0,1
13:37-11/16,1258396645,0,82,0,0,1
13:37-11/16,1258396645,0,83,0,0,1
13:37-11/16,1258396646,0,84,0,0,1
13:37-11/16,1258396646,0,85,0,0,1
13:37-11/16,1258396647,0,86,0,0,1
13:37-11/16,1258396647,0,87,0,0,1
13:37-11/16,1258396648,0,88,0,0,1
13:37-11/16,1258396648,0,89,0,0,1
13:37-11/16,1258396649,0,90,0,0,1
13:37-11/16,1258396649,0,91,0,0,1
13:37-11/16,1258396650,0,92,0,0,1
13:38-11/16,1258396723,0,93,0,0,1
13:38-11/16,1258396735,0,94,0,0,1
13:39-11/16,1258396773,0,95,0,0,1
13:39-11/16,1258396774,0,96,0,0,1
13:39-11/16,1258396776,0,97,0,0,1
13:39-11/16,1258396776,0,98,0,0,1
13:39-11/16,1258396777,0,99,0,0,1
13:39-11/16,1258396778,0,100,0,0,1
13:39-11/16,1258396779,0,101,0,0,1
13:40-11/16,1258396818,0,102,0,0,1
13:42-11/16,1258396943,0,103,0,0,1
13:42-11/16,1258396945,0,104,0,0,1
13:42-11/16,1258396947,0,105,0,0,1
13:42-11/16,1258396949,0,106,0,0,1
13:42-11/16,1258396952,0,107,0,0,1
13:42-11/16,1258396954,0,108,0,0,1
13:42-11/16,1258396956,0,109,0,0,1
13:42-11/16,1258396957,0,110,0,0,1
13:42-11/16,1258396958,0,111,0,0,1
13:42-11/16,1258396959,0,112,0,0,1
13:42-11/16,1258396961,0,113,0,0,1
13:42-11/16,1258396964,0,113,0,0,2
13:42-11/16,1258396965,0,113,0,0,3
13:42-11/16,1258396966,0,113,0,0,4
13:42-11/16,1258396967,0,113,0,0,5
13:42-11/16,1258396967,0,113,0,0,6
13:42-11/16,1258396968,0,113,0,0,7
13:42-11/16,1258396969,0,113,0,0,8
13:42-11/16,1258396969,0,113,0,0,9
13:42-11/16,1258396970,0,113,0,0,10
13:42-11/16,1258396971,0,113,0,0,11
13:42-11/16,1258396971,0,113,0,0,12
13:53-11/16,1258397594,0,114,0,0,12
13:53-11/16,1258397595,0,115,0,0,12
13:53-11/16,1258397595,0,116,0,0,12
13:53-11/16,1258397597,0,117,0,0,12
13:53-11/16,1258397597,0,118,0,0,12
13:53-11/16,1258397598,0,119,0,0,12
13:53-11/16,1258397599,0,120,0,0,12
13:57-11/16,1258397872,0,123,0,0,12
13:57-11/16,1258397873,0,124,0,0,12
13:57-11/16,1258397874,0,125,0,0,12
13:57-11/16,1258397875,0,126,0,0,12
13:57-11/16,1258397876,0,127,0,0,12
